original,root
"OFFICE SNAX, INC.",office
OFFICEMATE INTERNATIONAL CORP.,officemate
PACON CORPORATION,pacon
PACTIV EVERGREEN CORPORATION,pactiv
PAPANICHOLAS COFFEE,papanicholas
PATERSON PAPER,paterson
PEETS,peets
PENTEL OF AMERICA,pentel
PHILIPS SPEECH PROCESSING,philips
PILOT CORP. OF AMERICA,pilot
PITT PLASTICS,pitt
PLASTIFAR SA,plastifar
POLYMERSHAPES,polymershapes
PREGIS,pregis
PREMIER MARTIN YALE,premier
PRINTRONIX,printronix
PROCTER & GAMBLE,procter
PRODUCTS FOR YOU,foryou
QUICKIE,quickie
RDI USA,rdi
RECKITT BENCKISER,reckitt
REDIFORM OFFICE PRODUCTS,rediform
REMCODA LLC,remcoda
RICOH CORP.,ricoh
ROARING SPRING PAPER PRODUCTS,roaring
ROCKETBOOK,rocketbook
"ROSS & WALLACE PAPER PRODUCTS, INC.",ross
RUBBERMAID,rubbermaid
RUBBERMAID COMMERCIAL PROD.,rubbermaid
RUST-OLEUM CORPORATION,rust
SAFCO PRODUCTS,safco
SAMSILL CORPORATION,samsill
SANFORD,sanford
SANI PROFESSIONAL,sani
"SAUNDERS MFG. CO., INC.",saunders
SC JOHNSON,johnson
SCHNEIDER,schneider
"SEE ALL INDUSTRIES, INC.",see
"SEIKO INSTRUMENTS USA, INC.",seiko
"SELLARS ABSORBENT MATERIALS, INC.",sellars
SENTRY,sentry
"SHEILA SHINE, INC.",sheila
SHURTAPE TECHNOLOGIES,shurtape
SMEAD MANUFACTURING CO.,smead
SOAP2O,soap2o
SOFIDEL AMERICA,sofidel
SOLARIS PAPER,solaris
SOLUPAC,solupac
SOUTHERN CHAMPION TRAY,southern
SPANGLER CANDY COMPANY,spangler
"STAEDTLER, INC.",staedtler
STANLEY BOSTITCH,stanley
STERNO GROUP,sterno
STOREX,storex
STOUT,stout
STRIDE WRITING,stride
SUNCAST CORPORATION,suncast
"SUNSHINE MAKERS, INC.",sunshine
TABBIES,tabbies
"TABLEMATE PRODUCTS, CO.",tablemate
"TARIFOLD, INC.",tarifold
TATCO,tatco
TENNSCO,tennsco
"THE COIN-TAINER CO., LLC",coin
"THE RAYNOR GROUP, INC.",raynor
THEOCHEM,theochem
TOLCO CORPORATION,tolco
"TONER FOR COPY&FAX,RIBBONS",toner
TOOTSIE ROLL INDUSTRIES,tootsie
TOPS BUSINESS FORMS,tops
TRANSMACRO AMENITIES,transmacro
"TREND ENTERPRISES, INC.",trend
TRI INDUSTRIES NFP,tri
TRINITY PLASTICS INC.,trinity
TRODAT,trodat
TROY,troy
"TST/IMPRESO, INC.",tst
U. S. STAMP & SIGN,stamp
UNGER,unger
UNI,uni
UNICORN,unicorn
UNILEVER,unilever
UNIMED,unimed
UNIVERSAL OFFICE PRODUCTS,universal
VEGWARE,vegware
"VELCRO USA, INC.",velcro
VEND-RITE MANUFACTURING CO,vend
VERBATIM CORPORATION,verbatim
VICTOR TECHNOLOGY LLC,victor
VULCAN INFORMATION PACKAGING,vulcan
WD-40,wd
WEBSTER INDUSTRIES,webster
WEIMAN,weiman
WEXFORD LABS,wexford
WINDSOFT,windsoft
WORLD CENTRIC,world
XEROX CORP.,xerox
ZEBRA PEN CORP.,zebra
ZEBRA TECHNOLOGIES,zebra
ZEP INC.,zep
ZEVIA PBC,zevia
